Datum,Uhrzeit,OV,Veranstaltung
3. Januar,19:00,<b>M21</b>,<link 2805>Technikabend</link>
7. Januar,14:00,,SH-Rundspruchtreffen in Holzbunge
8. Januar,,<link http://www.arrl.org/ _blank>ARRL</link>,<link http://www.arrl.org/kids-day _blank>Kids Day</link>
17. Januar,19:30,<b>M21</b>,1. <link 2805>OV-Abend</link>
7. Februar,19:00,<b>M21</b>,<link 2805>Technikabend</link>
11. Februar,,<link http://www.darc.de/n38 _blank>N38</link>,<link http://ham.darc.de/ghztagung _blank>GHz-Tagung Dorsten</link>
21. Februar,19:30,<b>M21</b>,2. <link 2805>OV-Abend</link> / <link 21561>Jahreshauptversammlung</link>
26. Februar,9:00,<link http://www.darc.de/m06 _blank>M06</link>,<link http://www.darc-m06.de/grafik/floh.htm _blank>Flohmarkt auf Hof Ackerboom Kiel</link>
3. März,14:00,,SH-Rundspruchtreffen in Holzbunge
6. März,19:00,<b>M21</b>,<link 2805>Technikabend</link>
10. März,,<link http://www.darc.de/m _blank>M</link>,Frühjahrsversammlung des Distriktes M
10. bis 11. März,,<link http://www.darc.de/c _blank>C</link>,<link http://www.amateurfunktagung.de/ _blank>Amateurfunktagung München</link>
20. März,19:30,<b>M21</b>,3. <link 2805>OV-Abend</link>
25. März,10:30,<link http://www.darc.de/m04 _blank>M04</link>,<link http://www.darc-husum.de/flohmarkt.html _blank>Husum Flohmarkt</link>
3. April,19:00,<b>M21</b>,<link 2805>Technikabend</link>
17. April,19:30,<b>M21</b>,4. <link 2805>OV-Abend</link>
18. April,,<link http://www.darc.de/ _blank>DARC</link>,<link http://www.darc.de/mitglieder/darc-info/ov-aktiv/weltamateurfunktag/_bank>Weltamateurfunktag</link>
27. bis 29. April,,<link http://www.darc.de/ _blank>DARC</link>,<link http://www.darc.de/darc-info/mitgliederversammlung/ _blank>Mitgliederversammlung in Eisenach</link>
1. Mai,,<link http://www.darc.de/m01 _blank>M01</link>,<link http://www.darc.de/mitglieder/distrikte/m/01/aktivitaeten/ _blank>SH-Treffen in Eckernförde</link>
