Datum;Uhrzeit;OV;Veranstaltung
6. Januar;;<a href="http://www.arrl.org" target="_blank">ARRL</link>;<a href="http://www.arrl.org/kids-day" target="_blank">Kids Day</link>
15. Januar;19:30;<b>M21</b>;1. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
18. Januar;;<b>M21</b>;<a href="http://www.darc.de/index.php?id=25435">Jahresanfangsfeier im Birkenhein</link>
3. Februar;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://qso-party.de/p2013" target="_blank">Februar-QSO-Party</link>
5. Februar;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
13. Februar;;<a href="http://www.unesco.org" target="_blank">UNESCO</link>;<a href="http://www.worldradioday.org/events/2013/index.html" target="_blank">UNESCO World Radio Day</link>
16. Februar;;<a href="http://www.darc.de/n38" target="_blank">N38</link>;<a href="http://ghz-tagung.de/" target="_blank">GHz-Tagung Dorsten</link>
19. Februar;19:30;<b>M21</b>;2. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link> / <a href="http://www.darc.de/index.php?id=25949">Jahreshauptversammlung</link>
24. Februar;10:00;<a href="http://www.darc.de/m06" target="_blank">M06</link>;Flohmarkt auf Hof Ackerboom Kiel
5. März;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
8. bis 10. März;;<a href="http://www.aatis.de" target="_blank">AATIS</link>;<a href="http://www.aatis.de/content/28-bundeskongress-f%C3%BCr-amateurfunk-und-telekommunikation-schulen" target="_blank">28. Bundeskongress für Amateurfunk und Telekommunikation an Schulen</link>
16. März;;<a href="http://www.darc.de/m" target="_blank">M</link>;Frühjahrsversammlung des Distriktes M
17. März;;<a href="http://www.darc.de/m" target="_blank">M</link>;Großraum-Mobilwettbewerb
19. März;19:30;<b>M21</b>;3. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
23. März;9:00;<a href="http://www.radioclub.nl/" target="_blank">BRAC</link>;<a href="http://www.radiovlooienmarkt.nl/" target="_blank">Nationaler Radioflohmark in Rosmalen/NL</link>
24. März;10:30;<a href="http://www.darc.de/m04" target="_blank">M04;<a href="http://www.darc-husum.de/flohmarkt.html" target="_blank">Funkflohmarkt in Husum</link>
2. April;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
6. April;;<a href="http://www.afthd.tu-darmstadt.de/" target="_blank">AFTHD</link>;<a href="http://www.iprt.de" target="_blank">Fachtagung für digitale Datenübertragung im Amateurfunk (IPRT)</link>
13. April;13:00;<a href="http://www.darc.de/e" target="_blank">E</link>;<a href="http://www.darc.de/distrikte/e/distriktinformationen/distriktsversammlungen" target="_blank">Distriktsversammlung Hamburg</link>
16. April;19:30;<b>M21</b>;4. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
18. April;;<a href="http://www.iaru.org/" target="_blank">IARU</link>;<a href="http://www.arrl.org/news/april-18-is-world-amateur-radio-day" target="_blank">Weltamateurfunktag</link>
20. April;;;<a href="http://www.gb4imd.com/" target="_blank">International Marconi Day</link>
